B4SR4P, R, 3, -9, -5, -2
0IAHYC, B, 2, -5, -5, inf
B4SR4P, Y, 3, inf, -5, inf
2JW4I2, B, 4, 2, -5, inf
B4SR4P, Y, 3, 2, -5, 2
2JW4I2, P, 4, 5, -5, 2
B4SR4P, Y, 3, 2, -5, 2
2JW4I2, Y, 4, 2, -5, 2
B4SR4P, Y, 3, 2, -5, 2
2QGPCU, G, 4, 6, -5, 2
B4SR4P, Y, 3, 2, -5, 2
2QGPCU, P, 4, 5, -5, 2
B4SR4P, Y, 3, 2, -5, 2
2QGPCU, R, 4, -5, -5, 2
B4SR4P, Y, 3, -5, -5, 2
0IAHYC, B, 2, -5, -5, inf
BXV6VG, G, 3, inf, -5, inf
0RHT6U, B, 4, -3, -5, inf
BXV6VG, G, 3, -3, -5, -3
0RHT6U, P, 4, 0, -5, -3
BXV6VG, G, 3, -3, -5, -3
0RHT6U, R, 4, -10, -5, -3
BXV6VG, G, 3, -10, -5, -3
0IAHYC, B, 2, -5, -5, inf
BXV6VG, P, 3, inf, -5, inf
0RHT6U, B, 4, 2, -5, inf
BXV6VG, P, 3, 2, -5, 2
0RHT6U, G, 4, 6, -5, 2
BXV6VG, P, 3, 2, -5, 2
0RHT6U, R, 4, -5, -5, 2
BXV6VG, P, 3, -5, -5, 2
0IAHYC, B, 2, -5, -5, inf
BXV6VG, R, 3, inf, -5, inf
0RHT6U, B, 4, -2, -5, inf
BXV6VG, R, 3, -2, -5, -2
0RHT6U, G, 4, 2, -5, -2
BXV6VG, R, 3, -2, -5, -2
0RHT6U, P, 4, 1, -5, -2
BXV6VG, R, 3, -2, -5, -2
0RHT6U, Y, 4, -2, -5, -2
BXV6VG, R, 3, -2, -5, -2
2JW4I2, B, 4, -2, -5, -2
BXV6VG, R, 3, -2, -5, -2
2JW4I2, P, 4, 1, -5, -2
BXV6VG, R, 3, -2, -5, -2
2JW4I2, Y, 4, -2, -5, -2
BXV6VG, R, 3, -2, -5, -2
2QGPCU, G, 4, 2, -5, -2
BXV6VG, R, 3, -2, -5, -2
2QGPCU, P, 4, 1, -5, -2
BXV6VG, R, 3, -2, -5, -2
2QGPCU, R, 4, -9, -5, -2
BXV6VG, R, 3, -9, -5, -2
0IAHYC, B, 2, -5, -5, inf
BXV6VG, Y, 3, inf, -5, inf
0RHT6U, B, 4, 2, -5, inf
BXV6VG, Y, 3, 2, -5, 2
0RHT6U, G, 4, 6, -5, 2
BXV6VG, Y, 3, 2, -5, 2
0RHT6U, P, 4, 5, -5, 2
BXV6VG, Y, 3, 2, -5, 2
0RHT6U, R, 4, -5, -5, 2
BXV6VG, Y, 3, -5, -5, 2
0IAHYC, B, 2, -5, -5, inf
DIV0T7, B, 3, inf, -5, inf
0RHT6U, G, 4, 5, -5, inf
DIV0T7, B, 3, 5, -5, 5
0RHT6U, P, 4, 4, -5, 5
DIV0T7, B, 3, 4, -5, 4
0RHT6U, R, 4, -6, -5, 4
DIV0T7, B, 3, -6, -5, 4
0IAHYC, B, 2, -5, -5, inf
DIV0T7, P, 3, inf, -5, inf
0RHT6U, B, 4, 2, -5, inf
DIV0T7, P, 3, 2, -5, 2
0RHT6U, G, 4, 6, -5, 2
DIV0T7, P, 3, 2, -5, 2
0RHT6U, R, 4, -5, -5, 2
DIV0T7, P, 3, -5, -5, 2
0IAHYC, B, 2, -5, -5, inf
DIV0T7, R, 3, inf, -5, inf
